Player Name,tosses,sinks,mugs,lows,highs,longs/sides,balls back,catches,drops,points,wins,games,losses,record,points/toss,catches/drop,offensive rank,defensive rank
at,61,1,4,3,1,7,0,21,1,9,3,3,0,1.0,0.148,21.0,11,2
billy,31,0,0,0,4,6,0,6,3,3,0,1,1,0.0,0.097,2.0,18,16
cp,47,0,3,1,2,4,0,18,6,7,1,2,1,0.5,0.149,3.0,10,10
donny,16,0,0,1,4,3,0,5,2,2,0,1,1,0.0,0.125,2.5,17,12
dross,16,0,0,2,1,4,0,2,2,3,0,1,1,0.0,0.188,1.0,4,23
fish,60,1,2,5,10,8,0,18,3,8,2,3,1,0.667,0.133,6.0,14,8
fozz,12,0,0,1,0,4,0,3,2,2,0,1,1,0.0,0.167,1.5,6,19
griff,32,1,2,1,2,1,0,7,3,7,1,2,1,0.5,0.219,2.333,2,14
ian,16,0,0,9,0,0,0,6,3,1,0,1,1,0.0,0.062,2.0,21,16
jp,18,0,0,2,2,6,0,4,3,1,0,1,1,0.0,0.056,1.333,23,20
jred,48,0,5,4,5,3,0,8,7,7,1,2,1,0.5,0.146,1.143,12,22
ken,38,1,2,0,4,3,0,9,4,5,1,2,1,0.5,0.132,2.25,15,15
larry,12,1,0,0,1,1,0,5,4,2,0,1,1,0.0,0.167,1.25,6,21
matt r,37,0,2,0,8,8,0,6,3,6,1,2,1,0.5,0.162,2.0,8,16
mike,63,0,2,8,8,3,0,19,7,8,2,3,1,0.667,0.127,2.714,16,11
owen,72,1,4,4,12,11,0,27,3,10,2,3,1,0.667,0.139,9.0,13,5
pg,32,0,1,3,4,1,0,14,1,2,0,1,1,0.0,0.062,14.0,21,3
rick,17,0,0,1,10,1,0,2,2,0,0,1,1,0.0,0.0,1.0,24,23
ruby,40,0,3,2,1,2,0,25,2,9,1,2,1,0.5,0.225,12.5,1,4
ryan,71,0,5,4,7,6,0,25,4,11,2,3,1,0.667,0.155,6.25,9,7
siegel,40,0,1,2,7,5,0,4,1,3,1,2,1,0.5,0.075,4.0,20,9
tank,33,0,2,0,1,2,0,8,1,3,1,2,1,0.5,0.091,8.0,19,6
tufto,59,2,6,2,5,11,0,26,1,12,3,3,0,1.0,0.203,26.0,3,1
varun,16,0,2,0,0,2,0,5,2,3,0,1,1,0.0,0.188,2.5,4,12
